id,year,domain,subject,data_modality,title,venue,doi,has_pdf
12,2023,Agriculture,Fruit identification,images,A deep CNN approach to detect and classify local fruits through a web interface,Smart Agricultural Technology,10.1016/j.atech.2023.100321,no
33,2025,Agriculture,Fruit identification,images,FruitsMultiNet: A deep neural network approach to identify fruits through multi-scale feature fusion using mobile interface,Journal of Agriculture and Food Research,10.1016/j.jafr.2025.102083,no
16,2023,Agriculture,Maize leaf disease,images,Biorthogonal wavelet based entropy feature extraction for identification of maize leaf diseases,Journal of Agriculture and Food Research,10.1016/j.jafr.2023.100756,no
128,2026,Agriculture,Rice/wheat/bean leaf disease,images,"Classification of Multi-Crop Leaf Diseases in Rice, Wheat, and Bean Using a Deep Transfer Learning Approach",Artificial Intelligence and Applications,10.47852/bonviewaia62026239,yes
22,2024,Agriculture,Tomato cultivation / pest,IoT + images,Smart farming: Leveraging IoT and deep learning for sustainable tomato cultivation and pest management,Crop Design,10.1016/j.cropd.2024.100079,no
69,2024,Blockchain,E-voting + biometrics,blockchain + deep learning,Development of an E-Voting Scheme through a Blockchain-Enabled Approach with Deep Hybrid Learning for Biometric Authentication,,10.1109/i2ct61223.2024.10543350,no
40,2023,Blockchain,e-FIR record management,blockchain + IPFS,Blockchain and IFPS based Secure System for Managing e-FIR,International Journal of Information Engineering and Electronic Business,10.5815/ijieeb.2023.01.03,yes
91,2026,Business analytics,Marketing uplift (causal),synthetic + real campaign data,Modeling Time-Sensitive Causal Uplift in Marketing Campaigns: Evidence From Synthetic and Real-World Data,IEEE Access,10.1109/access.2026.3668553,yes
3,2023,Clinical ML,Alzheimer's / dementia,clinical tabular,A Novel Approach Utilizing Machine Learning for the Early Diagnosis of Alzheimer's Disease,Biomedical Materials & Devices,10.1007/s44174-023-00078-9,no
103,2025,Clinical ML,Alzheimer's / dementia,clinical tabular,Explainable Ensemble Machine Learning Framework with Optimized Feature Selection for Early Detection of Alzheimer's Disease,,10.1109/raaicon69033.2025.11502409,no
107,2025,Clinical ML,Alzheimer's / dementia,clinical tabular,An Interpretable and Accurate Ensemble Machine Learning Approach for Dementia Prediction,,10.1109/becithcon69222.2025.11504289,no
81,2025,Clinical ML,Anemia,clinical tabular,Early Detection of Anemia Using Ensemble Machine Learning Algorithms with Data Balancing,,10.1109/qpain66474.2025.11172012,no
79,2025,Clinical ML,Asthma,clinical tabular,Predictive Model for Asthma Diagnosis Using Advanced Feature Selection and Voting Techniques with Model Explainability,,10.1109/qpain66474.2025.11171703,no
93,2026,Clinical ML,Asthma,clinical tabular,Explainable artificial intelligence–driven ensemble learning for asthma risk prediction using machine and deep learning,Journal of International Medical Research,10.1177/03000605261440309,no
59,2024,Clinical ML,Birth asphyxia (neonatal),clinical tabular,Toward Early Detection of Neonatal Birth Asphyxia Utilizing Ensemble Machine Learning Approach,Algorithms for intelligent systems,10.1007/978-981-97-0180-3_4,no
32,2025,Clinical ML,Birth asphyxia (neonatal),infant cry audio,Analyzing infant cry to detect birth asphyxia using a hybrid CNN and feature extraction approach,Neuroscience Informatics,10.1016/j.neuri.2025.100193,no
2,2023,Clinical ML,Breast cancer,clinical tabular (WBCD),Machine learning-based diagnosis of breast cancer utilizing feature optimization technique,Computer Methods and Programs in Biomedicine Update,10.1016/j.cmpbup.2023.100098,no
26,2023,Clinical ML,Breast cancer,clinical tabular,XML‐LightGBMDroid : A self‐driven interactive mobile application utilizing explainable machine learning for breast cancer diagnosis,Engineering Reports,10.1002/eng2.12666,no
43,2025,Clinical ML,Celiac disease,clinical tabular,Optimized Feature Selection and Machine Learning for Accurate Celiac Disease Diagnosis with Model Interpretability,Biomedical Materials & Devices,10.1007/s44174-025-00326-0,yes
110,2025,Clinical ML,Celiac disease,clinical tabular,Optimized Feature Selection and SHAP-Based Explainable ML for Celiac Disease Prediction,,10.1109/becithcon69222.2025.11504286,no
116,2026,Clinical ML,Celiac disease,clinical tabular,Hybrid Feature Selection–Based Approach to Predict Celiac Disease Using Ensemble Machine Learning With Hyperparameter Tuning and Model Explainability,Journal of Electrical and Computer Engineering,10.1155/jece/6024336,no
8,2024,Clinical ML,Cervical cancer,clinical tabular,An ensemble machine learning-based approach to predict cervical cancer using hybrid feature selection,Neuroscience Informatics,10.1016/j.neuri.2024.100169,no
30,2024,Clinical ML,Cervical cancer,clinical tabular,A Comparative Study on Machine Learning Classifiers for Cervical Cancer Prediction: A Predictive Analytic Approach,EAI Endorsed Transactions on Internet of Things,10.4108/eetiot.6223,yes
73,2024,Clinical ML,Cervical cancer,clinical tabular,An Optimal Feature Selection-Based Approach to Predict Cervical Cancer Using Machine Learning,Lecture notes in networks and systems,10.1007/978-981-97-3937-0_23,no
14,2025,Clinical ML,Cervical cancer,clinical tabular,Ensemble Machine Learning-Based Approach to Predict Cervical Cancer with Hyperparameter Tuning and Model Explainability,Biomedical Materials & Devices,10.1007/s44174-024-00268-z,no
49,2025,Clinical ML,Cervical cancer,clinical tabular,Stacking Ensemble Technique to Predict Cervical Cancer Using Hyperparameter Tuning and Feature Selection,,10.1109/ecce64574.2025.11012979,no
10,2022,Clinical ML,Chronic kidney disease,clinical tabular,Chi2-MI: A hybrid feature selection based machine learning approach in diagnosis of chronic kidney disease,Intelligent Systems with Applications,10.1016/j.iswa.2022.200144,no
19,2023,Clinical ML,Chronic kidney disease,clinical tabular,Machine Learning-Based Chronic Kidney Cancer Prediction Application: A Predictive Analytics Approach,Biomedical Materials & Devices,10.1007/s44174-023-00133-5,no
48,2024,Clinical ML,Chronic kidney disease,clinical tabular,A Feature Selection-Based Ensemble Machine Learning Method for Predicting Chronic Kidney Cancer,,10.1109/becithcon64160.2024.10962730,no
68,2021,Clinical ML,Diabetes,clinical tabular,Diagnosis of diabetes: A machine learning paradigm using optimized features,DOAJ (DOAJ: Directory of Open Access Journals),,no
13,2024,Clinical ML,Diabetes,clinical tabular,"Explainable Machine Learning for Efficient Diabetes Prediction Using Hyperparameter Tuning, SHAP Analysis, Partial Dependency, and LIME",Engineering Reports,10.1002/eng2.13080,no
90,2026,Clinical ML,Esophageal cancer,clinical tabular,Explainable machine learning for early diagnosis of esophageal cancer: A feature-enriched Light Gradient Boosting Machine framework with Shapley Additive Explanations and Local Interpretable Model-Agnostic Explanations interpretations,Journal of International Medical Research,10.1177/03000605251411752,no
114,2026,Clinical ML,Esophageal cancer,clinical tabular,Hybrid feature selection and stacking ensemble learning with dual explainable AI to esophageal cancer neoplasm status classification,Intelligent Hospital,10.1016/j.inhs.2026.100086,no
115,2026,Clinical ML,Esophageal cancer,clinical tabular,Interpretable LightGBM framework for predicting esophageal cancer using clinical data: Integrating ensemble feature selection and data balancing,Intelligent Hospital,10.1016/j.inhs.2026.100088,no
123,2026,Clinical ML,Esophageal cancer,clinical tabular,An Explainable Machine Learning Framework for Early Esophageal Cancer Prediction Using SHAP and LIME,,10.1109/qpain69676.2026.11546382,no
6,2023,Clinical ML,Heart disease / CVD,clinical tabular,Machine learning-based approach to the diagnosis of cardiovascular vascular disease using a combined dataset,Intelligence-Based Medicine,10.1016/j.ibmed.2023.100100,no
28,2024,Clinical ML,Heart disease / CVD,clinical tabular + voice app,A Voice Assistive Mobile Application Tool to Detect Cardiovascular Disease Using Machine Learning Approach,Biomedical Materials & Devices,10.1007/s44174-024-00170-8,no
60,2024,Clinical ML,Heart disease / CVD,clinical tabular,An Ensemble Machine Learning-Based Method to Determine the Presence of Heart Ailment Using Pooled Dataset,,10.1109/compas60761.2024.10796352,no
72,2024,Clinical ML,Heart disease / CVD,clinical tabular,Machine Learning-Based Approach to Predict Heart Diseases Using Fused Dataset,Lecture notes in networks and systems,10.1007/978-981-97-3937-0_22,no
62,2025,Clinical ML,Heart disease / CVD,clinical tabular,Heart Disease Prediction Using ML and Ensemble Models: A Comprehensive Analysis,,10.1109/ecce64574.2025.11013804,no
35,2025,Clinical ML,Hepatitis B,clinical tabular,Improving Hepatitis B outcome prediction with ensemble machine learning: A study on predictive models and interpretability,Digital Health,10.1177/20552076251350755,no
95,2025,Clinical ML,Hepatitis B,clinical tabular,A Novel Hybrid Feature Selection and Ensemble Learning Approach for Mortality Risk Classification in Hepatitis B Patients: An Explainable AI Study,,10.1109/iccit68739.2025.11491320,no
105,2025,Clinical ML,Hepatitis B,clinical tabular,Optimized Ensemble Learning with SMOTE-Tomek Resampling for Early Detection of Hepatitis B,,10.1109/becithcon69222.2025.11504175,no
17,2024,Clinical ML,Hepatitis C,biomarker + clinical tabular,Hepatitis C Prediction Using Machine Learning and Deep Learning-Based Hybrid Approach with Biomarker and Clinical Data,Biomedical Materials & Devices,10.1007/s44174-024-00197-x,no
50,2024,Clinical ML,Hepatitis C,clinical tabular,Unleashing Machine Learning for Hepatitis C Prediction: A Holistic Exploration of Clinical Insights,,10.1109/compas60761.2024.10796087,no
54,2025,Clinical ML,Hepatitis C,clinical tabular,Predictive Insights Beyond Boundaries: Integrating Clinical Data for Hepatitis C Forecasting Using Machine Learning and Deep Learning,,10.1109/ecce64574.2025.11013856,no
84,2025,Clinical ML,Hepatitis C,clinical tabular,Comprehensive Predictive Insights: Leveraging Clinical Data for Hepatitis C Prediction with Machine Learning and Deep Learning,Communications in computer and information science,10.1007/978-3-032-11335-1_12,no
113,2026,Clinical ML,Hepatocellular carcinoma survival,clinical tabular,Enhancing Hepatocellular Carcinoma Survival Prediction Through Data Balancing and Explainable Artificial Intelligence,Lecture notes in networks and systems,10.1007/978-3-032-15764-5_7,no
170,2026,Clinical ML,Hepatocellular carcinoma survival,clinical tabular,Optimized Machine Learning-Based Survival Prediction in HCC: Addressing Data Imbalance and Feature Selection,,10.1109/peccii70991.2026.11661817,no
172,2026,Clinical ML,Kawasaki disease (IVIG resistance),clinical tabular,An explainable ensemble machine learning framework for predicting IVIG resistance in Kawasaki disease,Measurement Digitalization,10.1016/j.meadig.2026.100056,no
75,2024,Clinical ML,Liver disease,clinical tabular,Machine Learning-Based Approach to Predict Liver Disease Using an Imbalanced Dataset,,10.1109/becithcon64160.2024.10962687,no
112,2025,Clinical ML,Low birth weight (neonatal),clinical tabular,Explainable Ensemble Learning and Hybrid Feature Selection for Robust Low Birth Weight Prediction,,10.1109/becithcon69222.2025.11504281,no
7,2023,Clinical ML,Lung cancer,clinical tabular,XML-GBM lung: An explainable machine learning-based application for the diagnosis of lung cancer,Journal of Pathology Informatics,10.1016/j.jpi.2023.100307,no
63,2025,Clinical ML,Lung cancer,clinical tabular,A Data-Centric Method to Identify Lung Cancer Using a Variety of Machine Learning Approaches,,10.1109/ecce64574.2025.11013866,no
77,2025,Clinical ML,Lung cancer,clinical tabular,A Data-Centric Approach to Detect Lung Cancer Using Diverse Machine Learning Algorithms,Lecture notes in networks and systems,10.1007/978-981-96-2721-9_8,no
85,2025,Clinical ML,Mental state / wellbeing,survey tabular,Ensemble Machine Learning-Based Approach to Predict Human Mental States with Optimized Feature Selection and Data Balancing,Communications in computer and information science,10.1007/978-3-032-11352-8_11,no
109,2025,Clinical ML,Obesity,clinical tabular,Obesity Prediction with Optimized Feature Selection and Ensemble Learning Techniques,,10.1109/becithcon69222.2025.11503942,no
168,2026,Clinical ML,Obesity,clinical tabular,AIDPCP: an adaptive intelligent data preprocessing and clustering pipeline for obesity prediction with explainable AI,Measurement Digitalization,10.1016/j.meadig.2026.100049,no
